rowID,physicalAttackPower,magicAttackPower,attackCooldown,attackRange,physicalFlatPenetration,physicalPercentPenetration,magicFlatPenetration,magicPercentPenetration,isEnable
Hero_Archer,14,0,1.1,5,2,0,0,0,TRUE
Hero_Handgunner,12,0,1.45,4.5,4,0,0,0,TRUE
Hero_Shotgunner,18,0,1.7,3.2,1,0,0,0,TRUE
Hero_Artillery,30,0,2.6,6,10,0.1,0,0,TRUE
Hero_Sniper,42,0,3.2,8,18,0.15,0,0,TRUE
Hero_Trickshooter,5,0,0.18,5.5,5,0,0,0,TRUE
Hero_Magician,0,14,1.4,5,0,0,2,0,TRUE
Hero_Wizard,0,20,2,5.5,0,0,3,0,TRUE
Hero_Explomancer,0,28,3,5,0,0,4,0.05,TRUE
Hero_Telekinetic,0,0,6,5.5,0,0,0,0,TRUE
Hero_Transmuter,0,32,2.4,6,0,0,5,0.1,TRUE
Hero_Artificer,0,22,0,0,0,0,0,0,TRUE
Hero_MageRobo,0,0,0.8,4.5,0,0,0,0,TRUE
Hero_Martian,0,14,0,1.5,0,0,2,0,TRUE
Hero_Venusian,0,22,0,1.55,0,0,3,0,TRUE
Hero_Jovian,0,22,0,1.6,0,0,3,0,TRUE
Hero_Saturnian,0,34,0,2.15,0,0,4,0.05,TRUE
Hero_Uranian,0,36,0,2.3,0,0,4,0.05,TRUE
